,processState,kindCd
0,보호중,21841
1,종료(),21
2,종료(기증),12309
3,종료(미포획),2551
4,종료(반환),125312
5,종료(방사),324
6,종료(안락사),219130
7,종료(입양),248467
8,종료(자연사),136626
