,Unnamed: 0,CODE,NAME,X,Y,orgNm,weight,법정동명
72,73,31710,울주군,129.1695,35.5275,울산광역시 울주군,6561,울산광역시 울주군
73,74,36110,세종특별자치시,127.2695,36.5705,세종특별자치시,2883,세종특별자치시
74,82,41150,의정부시,127.0745,37.734,경기도 의정부시,5478,경기도 의정부시
75,85,41190,부천시,126.7875,37.505,경기도 부천시,14064,경기도 부천시
76,86,41210,광명시,126.863,37.4485,경기도 광명시,5303,경기도 광명시
77,87,41220,평택시,126.9665,37.023,경기도 평택시,23461,경기도 평택시
78,88,41250,동두천시,127.0805,37.9205,경기도 동두천시,3115,경기도 동두천시
79,94,41290,과천시,127.004,37.4345,경기도 과천시,1346,경기도 과천시
80,95,41310,구리시,127.13600000000001,37.601,경기도 구리시,2793,경기도 구리시
81,96,41360,남양주시,127.23,37.6435,경기도 남양주시,17369,경기도 남양주시
82,97,41370,오산시,127.0475,37.163000000000004,경기도 오산시,3591,경기도 오산시
83,98,41390,시흥시,126.78399999999999,37.3935,경기도 시흥시,9580,경기도 시흥시
84,99,41410,군포시,126.9175,37.342,경기도 군포시,3519,경기도 군포시
85,100,41430,의왕시,126.9885,37.358000000000004,경기도 의왕시,2665,경기도 의왕시
86,101,41450,하남시,127.213,37.5305,경기도 하남시,6210,경기도 하남시
87,105,41480,파주시,126.8385,37.8495,경기도 파주시,8355,경기도 파주시
88,106,41500,이천시,127.484,37.2015,경기도 이천시,6648,경기도 이천시
89,107,41550,안성시,127.309,37.025,경기도 안성시,7792,경기도 안성시
90,108,41570,김포시,126.54899999999999,37.602,경기도 김포시,8433,경기도 김포시
91,109,41590,화성시,126.539,37.108,경기도 화성시,14122,경기도 화성시
92,110,41610,광주시,127.2895,37.4005,경기도 광주시,9914,경기도 광주시
93,111,41630,양주시,127.012,37.8055,경기도 양주시,6201,경기도 양주시
94,112,41650,포천시,127.2685,37.9675,경기도 포천시,5691,경기도 포천시
95,113,41670,여주시,127.5835,37.288000000000004,경기도 여주시,5167,경기도 여주시
96,114,41800,연천군,126.9965,38.085,경기도 연천군,3087,경기도 연천군
97,115,41820,가평군,127.442,37.811,경기도 가평군,4379,경기도 가평군
98,116,41830,양평군,127.57700000000001,37.5185,경기도 양평군,4295,경기도 양평군
