,Unnamed: 0,CODE,NAME,X,Y,careAddr_0,weight,법정동명
120,173,45720,진안군,127.4455,35.824,전라북도 진안군,475,전라북도 진안군
121,174,45730,무주군,127.7175,35.9285,전라북도 무주군,171,전라북도 무주군
122,175,45740,장수군,127.531,35.6535,전라북도 장수군,568,전라북도 장수군
123,176,45750,임실군,127.2595,35.619,전라북도 임실군,286,전라북도 임실군
124,177,45770,순창군,127.087,35.428000000000004,전라북도 순창군,424,전라북도 순창군
125,178,45790,고창군,126.6015,35.4385,전라북도 고창군,1196,전라북도 고창군
126,179,45800,부안군,126.2825,35.595,전라북도 부안군,1356,전라북도 부안군
127,181,46130,여수시,127.3155,34.0275,전라남도 여수시,4260,전라남도 여수시
128,182,46150,순천시,127.3845,35.010000000000005,전라남도 순천시,6049,전라남도 순천시
129,183,46170,나주시,126.706,34.9915,전라남도 나주시,2785,전라남도 나주시
130,184,46230,광양시,127.64299999999999,34.8985,전라남도 광양시,2541,전라남도 광양시
131,185,46710,담양군,126.986,35.2915,전라남도 담양군,1155,전라남도 담양군
132,186,46720,곡성군,127.2465,35.203,전라남도 곡성군,812,전라남도 곡성군
133,187,46730,구례군,127.496,35.23000000000001,전라남도 구례군,936,전라남도 구례군
134,188,46770,고흥군,127.319,34.32,전라남도 고흥군,1521,전라남도 고흥군
135,189,46780,보성군,127.42299999999999,34.7825,전라남도 보성군,890,전라남도 보성군
136,190,46790,화순군,127.0125,35.019,전라남도 화순군,2371,전라남도 화순군
137,191,46800,장흥군,126.9635,34.459,전라남도 장흥군,710,전라남도 장흥군
138,192,46810,강진군,126.7815,34.533500000000004,전라남도 강진군,370,전라남도 강진군
139,193,46820,해남군,126.495,34.5275,전라남도 해남군,940,전라남도 해남군
140,194,46830,영암군,126.44,34.7295,전라남도 영암군,1574,전라남도 영암군
141,195,46840,무안군,126.318,35.010000000000005,전라남도 무안군,11875,전라남도 무안군
142,196,46860,함평군,126.521,35.105,전라남도 함평군,940,전라남도 함평군
143,197,46870,영광군,126.21,35.1855,전라남도 영광군,1206,전라남도 영광군
144,198,46880,장성군,126.755,35.339,전라남도 장성군,1400,전라남도 장성군
145,199,46890,완도군,126.9235,33.9795,전라남도 완도군,699,전라남도 완도군
146,200,46900,진도군,125.944,34.1455,전라남도 진도군,264,전라남도 진도군
147,204,47130,경주시,129.24450000000002,35.8595,경상북도 경주시,5451,경상북도 경주시
148,205,47150,김천시,128.088,36.0435,경상북도 김천시,2030,경상북도 김천시
149,206,47170,안동시,128.7145,36.5595,경상북도 안동시,1819,경상북도 안동시
150,207,47190,구미시,128.3485,36.2115,경상북도 구미시,3838,경상북도 구미시
151,208,47210,영주시,128.585,36.8805,경상북도 영주시,2552,경상북도 영주시
152,209,47230,영천시,128.9225,36.0075,경상북도 영천시,1721,경상북도 영천시
153,210,47250,상주시,128.06799999999998,36.446999999999996,경상북도 상주시,3253,경상북도 상주시
154,211,47280,문경시,128.127,36.6925,경상북도 문경시,93,경상북도 문경시
155,212,47290,경산시,128.8265,35.8475,경상북도 경산시,3342,경상북도 경산시
156,213,47720,군위군,128.655,36.167,경상북도 군위군,501,경상북도 군위군
157,214,47730,의성군,128.59199999999998,36.3615,경상북도 의성군,849,경상북도 의성군
158,215,47750,청송군,129.05100000000002,36.378,경상북도 청송군,412,경상북도 청송군
159,216,47760,영양군,129.149,36.686,경상북도 영양군,348,경상북도 영양군
160,217,47770,영덕군,129.3005,36.4705,경상북도 영덕군,1170,경상북도 영덕군
161,218,47820,청도군,128.78699999999998,35.7065,경상북도 청도군,1660,경상북도 청도군
162,219,47830,고령군,128.3215,35.7315,경상북도 고령군,1051,경상북도 고령군
163,220,47840,성주군,128.22299999999998,35.916,경상북도 성주군,1858,경상북도 성주군
164,221,47850,칠곡군,128.46200000000002,36.006,경상북도 칠곡군,1978,경상북도 칠곡군
165,222,47900,예천군,128.43599999999998,36.6515,경상북도 예천군,1127,경상북도 예천군
166,223,47920,봉화군,128.9125,36.9235,경상북도 봉화군,165,경상북도 봉화군
167,224,47930,울진군,129.2775,36.895,경상북도 울진군,2243,경상북도 울진군
168,225,47940,울릉군,130.938,37.53100000000001,경상북도 울릉군,143,경상북도 울릉군
169,231,48170,진주시,128.128,35.20050000000001,경상남도 진주시,2621,경상남도 진주시
170,232,48220,통영시,128.3845,34.9045,경상남도 통영시,4467,경상남도 통영시
171,233,48240,사천시,128.0315,35.039,경상남도 사천시,4123,경상남도 사천시
172,234,48250,김해시,128.8535,35.2725,경상남도 김해시,2446,경상남도 김해시
173,235,48270,밀양시,128.7975,35.49299999999999,경상남도 밀양시,10520,경상남도 밀양시
174,236,48310,거제시,128.71300000000002,34.786,경상남도 거제시,8189,경상남도 거제시
175,237,48330,양산시,129.04649999999998,35.403,경상남도 양산시,3977,경상남도 양산시
176,238,48720,의령군,128.2615,35.3855,경상남도 의령군,661,경상남도 의령군
177,239,48730,함안군,128.433,35.283,경상남도 함안군,3230,경상남도 함안군
178,240,48740,창녕군,128.5015,35.526,경상남도 창녕군,3808,경상남도 창녕군
179,241,48820,고성군,128.2225,34.9285,경상남도 고성군,1928,경상남도 고성군
180,242,48840,남해군,128.047,34.6865,경상남도 남해군,1247,경상남도 남해군
181,243,48850,하동군,127.8315,34.936,경상남도 하동군,1436,경상남도 하동군
182,244,48860,산청군,127.9015,35.3975,경상남도 산청군,1224,경상남도 산청군
183,245,48870,함양군,127.7315,35.5435,경상남도 함양군,972,경상남도 함양군
184,246,48880,거창군,127.887,35.711999999999996,경상남도 거창군,2222,경상남도 거창군
185,247,48890,합천군,128.167,35.6,경상남도 합천군,1492,경상남도 합천군
186,248,50110,제주시,126.227,33.408500000000004,제주특별자치도 제주시,36137,제주특별자치도 제주시
