,CODE,NAME,X,Y
136,43112,청주시 서원구,127.437,36.5475
137,43113,청주시 흥덕구,127.37899999999999,36.6435
138,43114,청주시 청원구,127.4685,36.712500000000006
139,43130,충주시,127.89249999999998,37.0045
140,43150,제천시,128.1275,37.035
141,43720,보은군,127.7105,36.4915
142,43730,옥천군,127.6885,36.308
143,43740,영동군,127.8225,36.164
144,43745,증평군,127.60050000000001,36.7805
145,43750,진천군,127.4375,36.8805
146,43760,괴산군,127.8465,36.7745
147,43770,음성군,127.6215,36.994
148,43800,단양군,128.4345,36.980000000000004
149,44131,천안시동남구,127.214,36.756
150,44133,천안시서북구,127.1825,36.879000000000005
151,44150,공주시,127.083,36.478
152,44180,보령시,126.053,36.2025
153,44200,아산시,126.97399999999999,36.795500000000004
154,44210,서산시,126.3365,36.9075
155,44230,논산시,127.15799999999999,36.2015
156,44250,계룡시,127.244,36.291
157,44270,당진시,126.6605,36.908
158,44710,금산군,127.4785,36.125
159,44760,부여군,126.874,36.2295
160,44770,서천군,126.60499999999999,35.9955
161,44790,청양군,126.851,36.4435
162,44800,홍성군,126.607,36.566500000000005
163,44810,예산군,126.779,36.665
164,44825,태안군,126.239,36.781000000000006
165,45111,전주시완산구,127.134,35.786
166,45113,전주시덕진구,127.11449999999999,35.8525
167,45130,군산시,126.4505,35.7385
168,45140,익산시,126.99549999999999,36.0205
169,45180,정읍시,126.916,35.61
170,45190,남원시,127.429,35.4315
171,45210,김제시,126.5015,35.772999999999996
172,45710,완주군,127.0315,35.82899999999999
173,45720,진안군,127.44550000000001,35.824
174,45730,무주군,127.7175,35.9285
175,45740,장수군,127.531,35.6535
176,45750,임실군,127.2595,35.619
177,45770,순창군,127.08699999999999,35.428
178,45790,고창군,126.6015,35.4385
179,45800,부안군,126.2825,35.595
180,46110,목포시,126.3625,34.763
181,46130,여수시,127.3155,34.0275
182,46150,순천시,127.3845,35.010000000000005
183,46170,나주시,126.706,34.9915
184,46230,광양시,127.643,34.8985
185,46710,담양군,126.98599999999999,35.2915
186,46720,곡성군,127.2465,35.203
187,46730,구례군,127.49600000000001,35.230000000000004
188,46770,고흥군,127.319,34.32
189,46780,보성군,127.423,34.7825
190,46790,화순군,127.01249999999999,35.019
191,46800,장흥군,126.9635,34.459
192,46810,강진군,126.7815,34.533500000000004
193,46820,해남군,126.495,34.5275
194,46830,영암군,126.44,34.7295
195,46840,무안군,126.318,35.010000000000005
196,46860,함평군,126.521,35.105
197,46870,영광군,126.21000000000001,35.1855
198,46880,장성군,126.755,35.339
199,46890,완도군,126.92349999999999,33.9795
200,46900,진도군,125.94399999999999,34.1455
201,46910,신안군,126.21600000000001,35.0625
202,47111,포항시 남구,129.43,35.962
203,47113,포항시 북구,129.2145,36.173500000000004
204,47130,경주시,129.24450000000002,35.8595
205,47150,김천시,128.088,36.0435
206,47170,안동시,128.7145,36.5595
207,47190,구미시,128.3485,36.2115
208,47210,영주시,128.585,36.8805
209,47230,영천시,128.9225,36.0075
210,47250,상주시,128.06799999999998,36.447
211,47280,문경시,128.127,36.692499999999995
212,47290,경산시,128.8265,35.8475
213,47720,군위군,128.655,36.167
214,47730,의성군,128.59199999999998,36.3615
215,47750,청송군,129.051,36.378
216,47760,영양군,129.149,36.686
217,47770,영덕군,129.3005,36.4705
218,47820,청도군,128.78699999999998,35.7065
219,47830,고령군,128.32150000000001,35.7315
220,47840,성주군,128.223,35.916
221,47850,칠곡군,128.462,36.006
222,47900,예천군,128.43599999999998,36.6515
