,Unnamed: 0,CODE,NAME,X,Y,careAddr_1,careAddr,법정동명
76,184,46230,광양시,127.64299999999999,34.8985,전라남도 광양시,1,전라남도 광양시
77,185,46710,담양군,126.986,35.2915,전라남도 담양군,1,전라남도 담양군
78,189,46780,보성군,127.42299999999999,34.7825,전라남도 보성군,1,전라남도 보성군
79,190,46790,화순군,127.0125,35.019,전라남도 화순군,1,전라남도 화순군
80,191,46800,장흥군,126.9635,34.459,전라남도 장흥군,1,전라남도 장흥군
81,192,46810,강진군,126.7815,34.533500000000004,전라남도 강진군,1,전라남도 강진군
82,195,46840,무안군,126.318,35.010000000000005,전라남도 무안군,2,전라남도 무안군
83,196,46860,함평군,126.521,35.105,전라남도 함평군,1,전라남도 함평군
84,197,46870,영광군,126.21,35.1855,전라남도 영광군,1,전라남도 영광군
85,198,46880,장성군,126.755,35.339,전라남도 장성군,1,전라남도 장성군
86,199,46890,완도군,126.9235,33.9795,전라남도 완도군,1,전라남도 완도군
87,200,46900,진도군,125.944,34.1455,전라남도 진도군,1,전라남도 진도군
88,204,47130,경주시,129.24450000000002,35.8595,경상북도 경주시,1,경상북도 경주시
89,205,47150,김천시,128.088,36.0435,경상북도 김천시,1,경상북도 김천시
90,206,47170,안동시,128.7145,36.5595,경상북도 안동시,1,경상북도 안동시
91,207,47190,구미시,128.3485,36.2115,경상북도 구미시,1,경상북도 구미시
92,208,47210,영주시,128.585,36.8805,경상북도 영주시,1,경상북도 영주시
93,209,47230,영천시,128.9225,36.0075,경상북도 영천시,1,경상북도 영천시
94,210,47250,상주시,128.06799999999998,36.446999999999996,경상북도 상주시,1,경상북도 상주시
95,211,47280,문경시,128.127,36.6925,경상북도 문경시,1,경상북도 문경시
96,213,47720,군위군,128.655,36.167,경상북도 군위군,1,경상북도 군위군
97,215,47750,청송군,129.05100000000002,36.378,경상북도 청송군,1,경상북도 청송군
98,217,47770,영덕군,129.3005,36.4705,경상북도 영덕군,1,경상북도 영덕군
99,218,47820,청도군,128.78699999999998,35.7065,경상북도 청도군,1,경상북도 청도군
100,222,47900,예천군,128.43599999999998,36.6515,경상북도 예천군,1,경상북도 예천군
101,223,47920,봉화군,128.9125,36.9235,경상북도 봉화군,1,경상북도 봉화군
102,224,47930,울진군,129.2775,36.895,경상북도 울진군,1,경상북도 울진군
103,225,47940,울릉군,130.938,37.53100000000001,경상북도 울릉군,1,경상북도 울릉군
104,231,48170,진주시,128.128,35.20050000000001,경상남도 진주시,1,경상남도 진주시
105,233,48240,사천시,128.0315,35.039,경상남도 사천시,1,경상남도 사천시
106,235,48270,밀양시,128.7975,35.49299999999999,경상남도 밀양시,1,경상남도 밀양시
107,236,48310,거제시,128.71300000000002,34.786,경상남도 거제시,1,경상남도 거제시
108,237,48330,양산시,129.04649999999998,35.403,경상남도 양산시,1,경상남도 양산시
109,238,48720,의령군,128.2615,35.3855,경상남도 의령군,1,경상남도 의령군
110,240,48740,창녕군,128.5015,35.526,경상남도 창녕군,1,경상남도 창녕군
111,241,48820,고성군,128.2225,34.9285,경상남도 고성군,1,경상남도 고성군
112,243,48850,하동군,127.8315,34.936,경상남도 하동군,1,경상남도 하동군
113,244,48860,산청군,127.9015,35.3975,경상남도 산청군,1,경상남도 산청군
114,245,48870,함양군,127.7315,35.5435,경상남도 함양군,1,경상남도 함양군
115,248,50110,제주시,126.227,33.408500000000004,제주특별자치도 제주시,3,제주특별자치도 제주시
